id,type,classification,road_segment_type,duration,street_name_full,line_weight,route_coming_soon,construction_year,geometry_line
1365,OFF ROAD,Shared Trail,,1578,,1,false,,"MULTILINESTRING ((-113.40456646100718 53.46920434369577, -113.40451689110293 53.469228084064646, -113.40448766840905 53.46925826815062, -113.40448330074491 53.46931790710117, -113.4044962490769 53.46937154429018, -113.4044915283318 53.469466556315275, -113.40450060432356 53.46954444902886, -113.40451663929477 53.46960923477277, -113.40454160674925 53.469641708420525, -113.40458365012883 53.46966416215716, -113.40465100065758 53.469694827428306, -113.4047067560027 53.46970622731223, -113.40478305480205 53.46970256464294, -113.40490864509337 53.469688025279304, -113.40502388589972 53.46968657590036, -113.4051055139557 53.46966575149596, -113.40514990010954 53.46964170868565, -113.40516386624329 53.469612458259654, -113.4051997285709 53.46959241573379, -113.40528294966448 53.46957867484131, -113.4053541512744 53.46957599620225, -113.40544246919706 53.469561270799446, -113.40551235996814 53.46953128880662, -113.40559417906955 53.46949630992705, -113.4057163919995 53.46948074315455, -113.40578233326673 53.46949117974537, -113.40582781015185 53.46951061346098, -113.40588418120208 53.46954869347016, -113.40592562980135 53.46957574666891, -113.40599331649024 53.46959964671199, -113.40608367697614 53.46961600880434, -113.40617787251881 53.46962975492327, -113.40628020004357 53.46963791766112, -113.40637801250762 53.46965671566019, -113.40661318779678 53.46973397328602, -113.40666142166516 53.469756387008005, -113.4067200043066 53.469808242053034, -113.40673644369011 53.46984471931485, -113.40673428625912 53.4698780712795, -113.40669471503078 53.469984728983725, -113.40666048295085 53.47007700749545))"
1366,OFF ROAD,Shared Trail,,967,,1,false,,"MULTILINESTRING ((-113.40281375700158 53.46797850980505, -113.40288238778254 53.4679784031659, -113.40297738809235 53.467978041283246, -113.40299930193613 53.46797797755837, -113.40311435380748 53.46798967073725, -113.40322207792202 53.46804075953093, -113.40329246887039 53.46809570822887, -113.4033657685468 53.46818504017501, -113.40341042066709 53.46826311430016, -113.40341980633002 53.46831876441251, -113.403420049127 53.46841332579804, -113.40342404156794 53.46845718562269, -113.40343569476481 53.468514980819634, -113.40346871664522 53.468576818550154, -113.40352223949863 53.46862662303218, -113.40358272150301 53.46866332425982, -113.40364161066461 53.468692938116774, -113.40380651407862 53.468774641429015, -113.40390761576602 53.46881457442738, -113.4040403741527 53.46889308408815, -113.4041564191746 53.4689553356453, -113.40426905367455 53.46901857984794, -113.40440686778635 53.46909913750929, -113.40454723761692 53.46919085566398, -113.40456646100718 53.46920434369577))"
1367,OFF ROAD,Shared Trail,,668,,1,false,,"MULTILINESTRING ((-113.40116744728434 53.46759875585304, -113.40119713261754 53.467692447674544, -113.4012485611865 53.467770552895786, -113.40131865046054 53.46784672837544, -113.40134856279379 53.467888330083866, -113.40142417592533 53.46793319368707, -113.40153870106425 53.46798229486081, -113.40167031477884 53.46802137280978, -113.40178364574923 53.46803508554885, -113.40189875425959 53.46804273744749, -113.40202610381333 53.468023153741626, -113.4021674863428 53.46799735304672, -113.40222836785462 53.46798701088883, -113.40240786589467 53.46798563486796, -113.40255686851248 53.46799244586678, -113.40265685696042 53.467990922522844, -113.40281375700158 53.46797850980505))"
1368,OFF ROAD,Shared Trail,,399,,1,false,,"MULTILINESTRING ((-113.40051914503206 53.46739613244549, -113.40057423135194 53.467408260597296, -113.40063475180092 53.467441930554344, -113.40080100923329 53.4675468988651, -113.4009085159182 53.46761315352959, -113.40097448961788 53.46762055997606, -113.40107776735462 53.46761038670244, -113.40111903100369 53.46760503613238, -113.40114970185468 53.46760105866051, -113.40116744728434 53.46759875585304))"
1369,OFF ROAD,Shared Trail,,746,,1,false,,"MULTILINESTRING ((-113.40456646100718 53.46920434369577, -113.40461344143674 53.469230584677746, -113.40470224033265 53.46926973338741, -113.40478358711545 53.46930119430709, -113.40485783946139 53.469322794928615, -113.40492219498184 53.46932513863192, -113.40498841242197 53.469315356002106, -113.40509054842654 53.46928149207424, -113.40519260569457 53.46925368992412, -113.40528950322083 53.469230918188735, -113.40537459943565 53.46920404491911, -113.40542572986855 53.469183068536346, -113.40547010122681 53.46916003529505, -113.4055396805771 53.469152292295554, -113.40559381384749 53.46915863120358, -113.40567838722855 53.46916916053152, -113.40575273862807 53.4691836853857, -113.40578826144996 53.469187904762805, -113.40585088227442 53.46919327231141))"
1370,OFF ROAD,Shared Trail,,397,,1,false,,"MULTILINESTRING ((-113.40123085416937 53.467102185697115, -113.40119150211882 53.46712928526024, -113.40110091843135 53.46718544801933, -113.4010681558685 53.4672257222208, -113.40107349315149 53.46732786396657, -113.4010873319477 53.46742802142461, -113.40112574520693 53.46746764258891, -113.40114902468319 53.46749910242901, -113.40116675210328 53.46756389713942, -113.40116744728434 53.46759875585304))"
1371,OFF ROAD,Shared Trail,,665,,1,false,,"MULTILINESTRING ((-113.39955297964656 53.46734109191729, -113.39957447336212 53.46729506408774, -113.39962171394735 53.46718914370734, -113.399654463601 53.46714987959689, -113.39972600377186 53.46712294223571, -113.39980558892805 53.46712637496976, -113.39989860117467 53.467138974000505, -113.39999688940917 53.467137444348076, -113.40010158776673 53.46716223747442, -113.40015892286688 53.46718173289699, -113.40019248858702 53.467204145642356, -113.40023014848333 53.46726997291946, -113.40024539308813 53.467297423579716, -113.40026703673584 53.46732482896333, -113.4003242234374 53.46735443592675, -113.40051914503206 53.46739613244549, -113.40037350247655 53.4673679980783))"
1372,OFF ROAD,Shared Trail,,245,,1,false,,"MULTILINESTRING ((-113.39955297964656 53.46734109191729, -113.3994912267441 53.46743113323972, -113.39941752222055 53.467543097065644, -113.39938732825804 53.4675880971712, -113.39935714045902 53.46763309361461, -113.3993133256198 53.46769839000792))"
1389,OFF ROAD,Shared Trail,,626,,1,false,,"MULTILINESTRING ((-113.60419728975594 53.47935345648805, -113.6043805642165 53.47941328117625, -113.6043748742669 53.47943190220431, -113.60434155262065 53.47945701356893, -113.60433032160866 53.47947891084089, -113.60474848684741 53.479583373908284, -113.60493930795741 53.47962238643668, -113.60513377453299 53.4796647016089, -113.6052695303679 53.479694757146625, -113.60542728555313 53.47973146697139, -113.60563677766079 53.47977243422846, -113.60589428520962 53.47981861190216, -113.60615404850599 53.47984141002478, -113.60624443263741 53.47984578001277, -113.60626251935018 53.479846654034716, -113.60628353405698 53.47984889386191))"
1390,OFF ROAD,Shared Trail,,2416,,1,false,,"MULTILINESTRING ((-113.61042746057387 53.48478273416044, -113.61045698192443 53.484839346913304, -113.61049428906017 53.484893180579036, -113.61054338696898 53.48495893748705, -113.61063418725493 53.48505606615843, -113.61077642616974 53.48514020236087, -113.61093182298377 53.48518888518901, -113.61108916374025 53.485234482240294, -113.61125710103853 53.48530239070146, -113.6113980511764 53.48535266953978, -113.61155122173831 53.4854118729923, -113.61174071893653 53.485489119164704, -113.61192608077964 53.48556664274006, -113.61210048737689 53.48563684479359, -113.61228933289529 53.48570988682554, -113.61244514695244 53.485770151672966, -113.61252107699717 53.4857992641756, -113.61265083729187 53.48584855814962, -113.61285366151974 53.48592560251115, -113.6130940590503 53.48601691940124, -113.61332137316691 53.48610325159986, -113.61356148746998 53.4861980786412, -113.61393447852984 53.48635599424142, -113.61404488748681 53.48641172122536, -113.61413390837127 53.48647465736588, -113.61441330852837 53.4866869763406, -113.61459275331481 53.486793991573755, -113.61471350166488 53.48689469619264, -113.6153081747652 53.48728490095241, -113.61542949005955 53.48734785897452, -113.61554243829428 53.48740821399237, -113.61568821219325 53.48750310544085, -113.61584283360256 53.48757694938657, -113.61600203340153 53.48762282598318, -113.61637225041615 53.48774474253224, -113.61655210988727 53.487781467972205, -113.61674139378279 53.487831084769134, -113.61693572848765 53.487872919532975, -113.61711907524385 53.48790744047832, -113.61731959766544 53.48793328216921, -113.61754194153532 53.48796151503655, -113.61776689064362 53.48798866131165, -113.61787554653188 53.4879915957586, -113.61787870938872 53.48799168325982, -113.61798420243561 53.487994530106796, -113.61819433690728 53.488003548551895, -113.61836620313335 53.48801414701657, -113.61851827320392 53.488019784399924, -113.61871176817891 53.48801843390434, -113.61890324287153 53.48801843281384, -113.619111339274 53.488030822491915, -113.61933584898094 53.48804715567066, -113.6195572580521 53.488054394498896, -113.61976474848723 53.48804130889168, -113.61994664011974 53.48802120963808, -113.62012639216731 53.48799297740491, -113.62031253813365 53.48796417557823, -113.62051116540611 53.48793467973217, -113.62069160618043 53.48790604346249, -113.62086258746412 53.48787662881615, -113.62100384240391 53.48785612265573, -113.62116691161263 53.48782907787696, -113.62131446100071 53.48780112136546))"
